N;t
100;31
110;28
120;24
130;24
140;21
150;15
160;15
170;15
180;15
190;16
200;16
210;19
220;19
230;16
240;16
250;16
260;17
270;16
280;16
290;16
300;16
310;16
320;17
330;16
340;17
350;17
360;17
370;17
380;17
390;17
400;17
410;19
420;17
430;19
440;17
450;17
460;17
470;17
480;17
490;17
500;17
510;17
520;17
530;17
540;18
550;18
560;18
570;18
580;18
590;18
600;18
610;18
620;18
630;18
640;18
650;18
660;18
670;18
680;19
690;18
700;18
710;18
720;18
730;19
740;19
750;19
760;19
770;19
780;19
790;19
800;19
810;19
820;19
830;19
840;19
850;19
860;19
870;19
880;19
890;19
900;19
910;19
920;19
930;19
940;19
950;20
960;19
970;20
980;20
990;20
1000;20
