N;t
1110;19
1221;20
1332;20
1443;21
1554;21
1665;39
1776;40
1887;31
1998;24
2109;24
2220;25
2331;26
2442;26
2553;27
2664;27
2775;27
2886;28
2997;29
3108;29
3219;30
3330;31
3441;31
3552;32
3663;32
3774;33
3885;33
3996;34
4107;35
4218;35
4329;36
4440;37
4551;37
4662;38
4773;38
4884;39
4995;40
5106;40
5217;41
5328;41
5439;42
5550;43
5661;43
5772;44
5883;45
5994;46
6105;46
6216;46
6327;47
6438;48
6549;49
6660;49
6771;49
6882;54
6993;50
7104;51
7215;51
7326;54
7437;53
7548;54
7659;54
7770;55
7881;55
7992;56
8103;57
8214;57
8325;58
8436;59
8547;59
8658;59
8769;60
8880;61
8991;61
9102;61
9213;62
9324;64
9435;64
9546;63
9657;64
9768;65
9879;66
9990;66
10101;67
10212;67
10323;76
10434;68
10545;69
10656;70
10767;70
10878;70
10989;72
11100;72
