N;t
100;4
110;4
120;5
130;5
140;7
150;9
160;8
170;9
180;11
190;11
200;12
210;14
220;15
230;16
240;18
250;19
260;21
270;22
280;25
290;26
300;29
310;30
320;32
330;33
340;35
350;37
360;40
370;42
380;45
390;47
400;50
410;54
420;57
430;59
440;61
450;63
460;66
470;69
480;72
490;73
500;76
510;79
520;82
530;84
540;87
550;90
560;93
570;98
580;101
590;104
600;109
610;111
620;114
630;119
640;123
650;127
660;137
670;135
680;140
690;144
700;149
710;153
720;159
730;163
740;166
750;170
760;175
770;180
780;187
790;188
800;193
810;198
820;201
830;208
840;213
850;216
860;220
870;226
880;231
890;236
900;242
910;247
920;253
930;258
940;261
950;268
960;274
970;279
980;286
990;292
1000;298
