N;t
1110;348
1221;420
1332;501
1443;587
1554;679
1665;800
1776;904
1887;1019
1998;1146
2109;1276
2220;1404
2331;1545
2442;1705
2553;1856
2664;2024
2775;2200
2886;2369
2997;2557
3108;2739
3219;2960
3330;3136
3441;3364
3552;3572
3663;3804
3774;4026
3885;4278
3996;4520
4107;4798
4218;5002
4329;5292
4440;5556
4551;5819
4662;6077
4773;6343
4884;6599
4995;6895
5106;7122
5217;7483
5328;7764
5439;8078
5550;8361
5661;9498
5772;8964
5883;9309
5994;9673
6105;10014
6216;10399
6327;10764
6438;11136
6549;11542
6660;11938
6771;12334
6882;12772
6993;13164
7104;14438
7215;14010
7326;15207
7437;15881
7548;16286
7659;16667
7770;17050
7881;17460
7992;17876
8103;18244
8214;18588
8325;18919
8436;19268
8547;19651
8658;20091
8769;20586
8880;21103
8991;21645
9102;22421
9213;24036
9324;24477
9435;24903
9546;25144
9657;25452
9768;25840
9879;26236
9990;26785
10101;27328
10212;27946
10323;30424
10434;31000
10545;31427
10656;31785
10767;31964
10878;32213
10989;33008
11100;33101
