N;t
100;8
110;8
120;9
130;10
140;12
150;13
160;14
170;16
180;18
190;20
200;22
210;23
220;26
230;28
240;30
250;39
260;34
270;37
280;39
290;42
300;45
310;48
320;50
330;53
340;56
350;58
360;62
370;65
380;75
390;72
400;76
410;81
420;95
430;112
440;128
450;139
460;138
470;143
480;152
490;143
500;226
510;157
520;126
530;129
540;135
550;138
560;151
570;193
580;227
590;245
600;230
610;237
620;257
630;265
640;264
650;278
660;288
670;226
680;219
690;217
700;224
710;235
720;238
730;241
740;246
750;259
760;261
770;267
780;274
790;284
800;288
810;299
820;308
830;314
840;318
850;323
860;331
870;338
880;345
890;353
900;500
910;523
920;537
930;539
940;455
950;399
960;457
970;416
980;423
990;433
1000;439
