N;t
1110;556
1221;635
1332;753
1443;882
1554;1018
1665;1167
1776;1327
1887;1489
1998;1663
2109;1847
2220;2056
2331;2264
2442;2469
2553;2690
2664;2930
2775;3164
2886;3445
2997;3735
3108;4006
3219;4293
3330;4765
3441;5052
3552;5240
3663;5963
3774;7177
3885;6195
3996;6527
4107;6888
4218;7204
4329;7592
4440;7968
4551;8381
4662;8891
4773;9374
4884;9778
4995;10277
5106;10666
5217;11071
5328;11570
5439;11937
5550;13009
5661;13084
5772;13503
5883;13930
5994;14682
6105;15204
6216;16645
6327;16239
6438;16642
6549;17455
6660;18287
6771;19000
6882;18880
6993;19407
7104;19938
7215;20376
7326;20753
7437;21211
7548;21685
7659;24055
7770;24679
7881;24969
7992;25513
8103;26079
8214;26539
8325;26959
8436;28611
8547;29311
8658;29458
8769;31567
8880;31940
8991;32792
9102;33274
9213;33927
9324;34122
9435;34257
9546;34663
9657;35335
9768;37580
9879;39063
9990;39541
10101;39769
10212;40143
10323;42542
10434;43612
10545;45079
10656;45348
10767;47259
10878;47949
10989;48175
11100;48498
