N;t
100;5
110;5
120;5
130;6
140;7
150;7
160;9
170;9
180;14
190;11
200;11
210;12
220;12
230;14
240;14
250;14
260;16
270;16
280;18
290;18
300;19
310;19
320;22
330;20
340;21
350;21
360;23
370;25
380;27
390;29
400;28
410;28
420;28
430;28
440;30
450;34
460;32
470;34
480;36
490;34
500;34
510;33
520;40
530;39
540;38
550;39
560;44
570;40
580;43
590;43
600;45
610;48
620;44
630;46
640;60
650;51
660;49
670;50
680;54
690;52
700;50
710;54
720;56
730;58
740;57
750;59
760;60
770;83
780;66
790;62
800;69
810;64
820;66
830;67
840;69
850;66
860;68
870;84
880;82
890;82
900;101
910;88
920;90
930;92
940;92
950;96
960;107
970;93
980;94
990;102
1000;96
