N;t
1110;73
1221;85
1332;99
1443;103
1554;142
1665;139
1776;130
1887;140
1998;156
2109;169
2220;178
2331;202
2442;211
2553;208
2664;230
2775;225
2886;254
2997;270
3108;307
3219;300
3330;352
3441;311
3552;336
3663;333
3774;339
3885;345
3996;362
4107;508
4218;400
4329;419
4440;438
4551;439
4662;461
4773;459
4884;477
4995;527
5106;526
5217;558
5328;538
5439;525
5550;560
5661;634
5772;649
5883;633
5994;657
6105;682
6216;754
6327;684
6438;671
6549;743
6660;898
6771;690
6882;723
6993;737
7104;778
7215;817
7326;822
7437;916
7548;809
7659;832
7770;821
7881;880
7992;839
8103;843
8214;1148
8325;993
8436;913
8547;921
8658;938
8769;974
8880;963
8991;972
9102;990
9213;1041
9324;1105
9435;1091
9546;1150
9657;1097
9768;1083
9879;1045
9990;1196
10101;1110
10212;1094
10323;1511
10434;1349
10545;1247
10656;1375
10767;1345
10878;1229
10989;1183
11100;1210
